         2323358 function calls (2294986 primitive calls) in 4.423 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.018    0.004    0.018    0.004 {built-in method torch._C._cuda_getDeviceCount}
      392    0.002    0.000    0.018    0.000 wrappers.py:221(_out_wrapper)
       30    0.003    0.000    0.018    0.001 __init__.py:847(_rc_params_in_file)
        1    0.000    0.000    0.018    0.018 model.py:13(__init__)
     1280    0.003    0.000    0.018    0.000 typing.py:1223(__init__)
      247    0.001    0.000    0.017    0.000 _parser.py:969(parse)
  733/508    0.000    0.000    0.017    0.000 typing.py:494(__getitem__)
        2    0.000    0.000    0.017    0.009 batchnorm.py:1(<module>)
      952    0.002    0.000    0.017    0.000 _ops.py:806(__getattr__)
     2123    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.017    0.017 request.py:1(<module>)
  510/247    0.001    0.000    0.016    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.016    0.016 art3d.py:1(<module>)
     1081    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        3    0.000    0.000    0.016    0.005 graph.py:1(<module>)
     1219    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:416(__enter__)
  565/258    0.006    0.000    0.016    0.000 _parser.py:512(_parse)
        2    0.000    0.000    0.016    0.008 _functions.py:1(<module>)
       12    0.000    0.000    0.015    0.001 _docstring.py:51(__missing__)
     1910    0.014    0.000    0.015    0.000 _ops.py:468(__init__)
      507    0.001    0.000    0.015    0.000 typing.py:673(Union)
     4641    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1042    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      869    0.001    0.000    0.015    0.000 inspect.py:973(getabsfile)
131719/131122    0.013    0.000    0.015    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
        2    0.000    0.000    0.015    0.008 platform.py:321(_wmi_query)
        1    0.000    0.000    0.015    0.015 graph_module.py:1(<module>)
        2    0.015    0.007    0.015    0.007 {built-in method _wmi.exec_query}
       13    0.000    0.000    0.015    0.001 init.py:406(kaiming_uniform_)
       16    0.014    0.001    0.014    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
      126    0.000    0.000    0.014    0.000 __init__.py:226(compile)
        3    0.000    0.000    0.014    0.005 linear.py:92(__init__)
        3    0.000    0.000    0.014    0.005 linear.py:105(reset_parameters)
        5    0.000    0.000    0.014    0.003 common.py:1(<module>)
     8001    0.008    0.000    0.014    0.000 inspect.py:2729(__init__)
207207/205978    0.013    0.000    0.013    0.000 {built-in method builtins.len}
9713/8926    0.006    0.000    0.013    0.000 {built-in method __new__ of type object at 0x00007FFC698926E0}
        1    0.000    0.000    0.013    0.013 client.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _axes.py:46(Axes)
      952    0.013    0.000    0.013    0.000 {built-in method torch._C._jit_get_operation}
      466    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
     9947    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.012    0.012 geo.py:1(<module>)
        1    0.000    0.000    0.012    0.012 defmatrix.py:1(<module>)
        1    0.000    0.000    0.012    0.012 axis.py:1(<module>)
        2    0.000    0.000    0.012    0.006 core.py:206(read_style_directory)
      922    0.001    0.000    0.012    0.000 inspect.py:948(getsourcefile)
        1    0.000    0.000    0.012    0.012 image.py:1(<module>)
        1    0.000    0.000    0.011    0.011 linalg.py:1(<module>)
        1    0.000    0.000    0.011    0.011 offsetbox.py:1(<module>)
        1    0.000    0.000    0.011    0.011 platform.py:445(win32_ver)
       91    0.001    0.000    0.011    0.000 enum.py:515(__new__)
        1    0.000    0.000    0.011    0.011 platform.py:383(_win32_ver)
     4641    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.011    0.011 base_events.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _utils_internal.py:1(<module>)
    56001    0.008    0.000    0.011    0.000 {built-in method builtins.max}
      247    0.000    0.000    0.011    0.000 _compiler.py:573(_code)
    39/34    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
    39/34    0.003    0.000    0.010    0.000 {built-in method _imp.exec_dynamic}
        6    0.000    0.000    0.010    0.002 rnn.py:1(<module>)
      973    0.001    0.000    0.010    0.000 __init__.py:711(__setitem__)
      106    0.003    0.000    0.010    0.000 __init__.py:355(namedtuple)
26159/26146    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
